Mammoth,White,Black,Location,Year,Event,Result,Moves,Opening,Nickname,Link
no,Garry Kasparov,Alexander Morozevich,"Wijk aan Zee, Netherlands",2000,"Corus 2000, Round 5",1-0,45,Slav Defense,,https://www.chessgames.com/perl/chessgame?gid=1005706
no,Garry Kasparov,Vladimir Kramnik,Astana 2001,2001,"Astana 2001, Round 10",1-0,41,Ruy Lopez: Berln Defense,Fall of the Berlin Wall,https://www.chessgames.com/perl/chessgame?gid=1165519
no,Loek van Wely,Alexander Morozevich,"Wijk aan Zee, Netherlands",2001,"Corus 2001, Round 3",0-1,21,Slav Defense,,https://www.chessgames.com/perl/chessgame?gid=1235478
no,Viswanathan Anand,Victor Bologan,"Dortmund, Germany",2003,"Dortmund Sparkassen 2003, Round 7",1-0,36,"Caro Kann, Karpov Variation",,https://www.chessgames.com/perl/chessgame?gid=1266094
no,Jon Ludvig Hammer,Magnus Carlsen,"Chalkidiki, Greece",2003,"World Youth Championship (U14), Round 1",0-1,17,King's Indian Defense,Anastasia's Mate,https://www.chessgames.com/perl/chessgame?gid=1269885
no,Judit Polgar,Ferenc Berkes,"Budapest, Hungary",2003,"Hunguest Hotels Super Chess Tournament 2003, Round 7",1-0,24,French Defense: Burn Variation,,https://www.chessgames.com/perl/chessgame?gid=1261813
no,Magnus Carlsen,Hans Krogh Harestad,"Copenhagen, Denmark",2003,"Politiken Cup 2003, Round 9",1-0,38,Ruy Lopez: Chigorin Defense,,https://www.chessgames.com/perl/chessgame?gid=1268980
no,Magnus Carlsen,Sipke Ernst,"Wijk aan Zee, Netherlands",2004,"Wijk aan Zee 2004, Round 12",1-0,29,"Caro Kann, Classical Variation",,https://www.chessgames.com/perl/chessgame?gid=1272702
no,Vladimir Kramnik,Peter Leko,"Brissago, Switzerland",2004,"World Championship 2004, Round 14",1-0,41,Caro Kann: Tal Variation,,https://www.chessgames.com/perl/chessgame?gid=1311652
no,Alexander Morozevich,Victor Bologan,"Sochi, Russia",2004,"Russia Team Championship 2004, Round 2",1-0,28,Caro Kann,,https://www.chessgames.com/perl/chessgame?gid=1282785
no,Alexander Morozevich,Evgeny Alekseev,"Sochi, Russia",2004,"Russia Team Championship 2004, Round 4",1-0,32,Sicilian Defense: Classical Variation,,https://www.chessgames.com/perl/chessgame?gid=1282835
no,Michael Adams,Garry Kasparov,"Linares, Spain",2005,"Linares 2005, Round 12",0-1,26,Sicilian Defense: Najdorf Variation,,https://www.chessgames.com/perl/chessgame?gid=1333302
no,Magnus Carlsen,Atle Groenn,"Sandnes, Norway",2005,"Norwegian Championship 2005, Round 9",1-0,24,Semi-Slav Defense,,https://www.chessgames.com/perl/chessgame?gid=1348050
no,Ivan Sokolov,Alexander Morozevich,"Wijk aan Zee, Netherlands",2005,"Corus Group A 2005, Round 9",0-1,34,Queen's Gambit Declined: Albin Countergambit,,https://www.chessgames.com/perl/chessgame?gid=1328801
no,Arkadij Naiditsch,Magnus Carlsen,"Turin, Italy",2006,"Turin Olympiad 2006, Round 12",0-1,54,Two Knghts Defense: Ng5 Attack,,https://www.chessgames.com/perl/chessgame?gid=1417813
yes,Veselin Topalov,Levon Aronian,"Wijk aan Zee, Netherlands",2006,"Wijk aan Zee 2006, Round 10",1-0,44,Queen's Indian Defense,,https://www.chessgames.com/perl/chessgame?gid=1387655
no,Vladimir Kramnik,Magnus Carlsen,"Wijk aan Zee, Netherlands",2008,"Corus 2008, Round 12",0-1,57,English Opening,,https://www.chessgames.com/perl/chessgame?gid=1482706
no,Alexander Morozevich,Vladimir Kramnik,"Moscow, Russia",2008,"Tal Memorial 2008, Round 3",1-0,31,Semi-Slav Defense,,https://www.chessgames.com/perl/chessgame?gid=1502822
no,Alexander Morozevich,Maxime Vachier-Lagrave,"Biel, Switzerland",2009,"Biel 2009, Round 8",0-1,76,Sicilian Defense: Scheveningen Variation,,https://www.chessgames.com/perl/chessgame?gid=1551140
no,Vugar Gashimov,Alexander Grischuk,"Bursa, Turkey",2010,"World Team Championship 2010, Round 4",0-1,41,Sicilian Defense: Najdorf Variation,,https://www.chessgames.com/perl/chessgame?gid=1567830
no,Boris Gelfand,Hikaru Nakamura,"Bursa, Turkey",2010,"World Team Championship 2010, Round 5",0-1,33,King's Indian Defense,,https://www.chessgames.com/perl/chessgame?gid=1567841
yes,Viswanathan Anand,Veselin Topalov,"Sofia, Bulgaria",2010,"Anand-Topalov World Championship Match 2010, Round 4",1-0,32,Catalan Opening: Open Catalan,,https://www.chessgames.com/perl/chessgame?gid=1581335
no,Marc Esserman,Loek van Wely,"Orlando, USA",2011,"US Open 2011, Round 6",1-0,26,Sicilian Defense: Smith-Morra Gambit,,https://www.chessgames.com/perl/chessgame?gid=1630005
no,Magnus Carlsen,Viswanathan Anand,"Sao Paulo, Brazil",2012,"Grand Slam Chess Final 2012, Round 9",1-0,30,Sicilian Defense: Moscow Variation,,https://www.chessgames.com/perl/chessgame?gid=1693032
no,Alexander Morozevich,Peter Leko,"Tashkent, Uzbekistan",2012,"Grand Prix Tashkent 2012, Round 10",1-0,42,English Opening: Symmetrical Variation,,https://www.chessgames.com/perl/chessgame?gid=1699947
yes,Levon Aronian,Viswanathan Anand,"Wijk aan Zee, Netherlands",2013,"Wijk aan Zee 2013, Round 4",0-1,23,Semi-Slav: Meran Variation,Rotlewi Rubinstein Redux,https://www.chessgames.com/perl/chessgame?gid=1704763
no,Anish Giri,Johan-Sebastian Christiansen,"Reykjavik, Iceland",2013,"Reykjavik Open 2013, Round 1",1-0,39,Ruy Lopez: Scliemann Defense,Major Piece Endgame,https://www.chessgames.com/perl/chessgame?gid=1710851
no,Magnus Carlsen,Boris Gelfand,"London, England",2013,"Candidates 2013, Round 10",1-0,48,Sicilian Defense: Rossolimo Attack,,https://www.chessgames.com/perl/chessgame?gid=1713491
yes,Viswanathan Anand,Magnus Carlsen,"Chennai, India",2013,"Anand - Carlsen World Championship Match 2013, Game 9",0-1,28,Nimzo-Indian Defense,,https://www.chessgames.com/perl/chessgame?gid=1737896
no,Wei Yi,Lazaro Bruzon Batista,"Danzhou, China",2015,"Hainan Danzhou 2015, Round 2",1-0,36,"Sicilian, 2.e6",Quiet Moves in the Mating Attack,https://www.chessgames.com/perl/chessgame?gid=1795096
no,Fabiano Caruana,Magnus Carlsen,"Wijk aan Zee, Netherlands",2015,"Wijk aan Zee 2015, Round 6",0-1,39,Sicilian Defense: Rossolimo Attack,,https://www.chessgames.com/perl/chessgame?gid=1782716
no,Wesley So,Garry Kasparov,"St. Louis, USA",2016,"Ultimate Blitz Challenge 2016, Round 10",1-0,25,Modern Defense,The Immortal Blitz Game,https://www.chessgames.com/perl/chessgame?gid=1820152
no,Levon Aronian,Magnus Carlsen,"Stavanger, Norway",2017,"Norway Chess 2017, Round 4",1-0,35,Semi-Slav Defense,,https://www.chessgames.com/perl/chessgame?gid=1877986
yes,Jinshi Bai,Ding Liren,"Ningbo, China",2017,"Chinese Chess League, 2017",0-1,32,Nimzo-Indian Defense,,https://www.chessgames.com/perl/chessgame?gid=1891363
no,Levon Aronian,Vladimir Kramnik,"Berlin, Germany",2018,"World Champion Candidates 2018, Round 3",0-1,27,Ruy Lopez: Berlin Defense,,https://www.chessgames.com/perl/chessgame?gid=1914397
no,Jan-Krzysztof Duda,Magnus Carlsen,"Stavanger, Norway",2020,"Norway Chess 2020, Round 5",1-0,63,Caro Kann Defense: Tartakower Variation,,https://www.chessgames.com/perl/chessgame?gid=2010697
no,Magnus Carlsen,Alireza Firouzja,"Wijk aan Zee, Netherlands",2021,"Wijk aan Zee 2021, Round 1",1-0,40,Queen's Gambit Declined,,https://www.chessgames.com/perl/chessgame?gid=2020416
no,Magnus Carlsen,Ian Nepomniachtchi,"Dubai, UAE",2021,"World Championship 2021, Game 6",1-0,136,Queen's Pawn Game: Catalan Variation,,https://www.chessgames.com/perl/chessgame?gid=2127373
no,Fabiano Caruana,Teimour Radjabov,"Madrid, Spain",2022,"World Championship Candidates 2022, Round 7",1-0,56,Sicilian Defense: O'Kelly Variation,,https://www.chessgames.com/perl/chessgame?gid=2291091
no,Simon Williams,Anastasiya Rakhmangulova,"Reykjavik, Iceland",2023,"Reykjavik Open 2023, Round 2",1-0,20,Slav Defense: Exchange Variation,,https://www.chessgames.com/perl/chessgame?gid=2467913
,,,,,,,,,,https://www.chessgames.com/perl/chessgame?gid=1003047
,,,,,,,,,,https://www.chessgames.com/perl/chessgame?gid=1003436
,,,,,,,,,,https://www.chessgames.com/perl/chessgame?gid=1282945
,,,,,,,,,,https://www.chessgames.com/perl/chessgame?gid=1036412
,,,,,,,,,,https://www.chessgames.com/perl/chessgame?gid=1064571
,,,,,,,,,,https://www.chessgames.com/perl/chessgame?gid=1007411
,,,,,,,,,,https://www.chessgames.com/perl/chessgame?gid=1487929
,,,,,,,,,,https://www.chessgames.com/perl/chessgame?gid=1594902
,,,,,,,,,,https://www.chessgames.com/perl/chessgame?gid=1060697
,,,,,,,,,,https://www.chessgames.com/perl/chessgame?gid=1406152
,,,,,,,,,,https://www.chessgames.com/perl/chessgame?gid=1060586
,,,,,,,,,,https://www.chessgames.com/perl/chessgame?gid=1060207
,,,,,,,,,,https://www.chessgames.com/perl/chessgame?gid=1060750
,,,,,,,,,,https://www.chessgames.com/perl/chessgame?gid=1018218
,,,,,,,,,,https://www.chessgames.com/perl/chessgame?gid=1060718
,,,,,,,,,,https://www.chessgames.com/perl/chessgame?gid=1451573
,,,,,,,,,,https://www.chessgames.com/perl/chessgame?gid=1531003
,,,,,,,,,,https://www.chessgames.com/perl/chessgame?gid=1069923
,,,,1853,,,,,Boden's Mate Original,https://www.chessgames.com/perl/chessgame?gid=1262425
,,,,,,,,,Classic Boden's Mate,https://www.chessgames.com/perl/chessgame?gid=1271758
